Line,Construction,type,psr,psr.def,psr.pron,psr.anim,psm,psm.pron,psm.anim
he's the most travelled member of the family because,the most travelled member of the family,OF,the family,Def,n,Inanim,the most travelled member,n,Anim
kohanga reo movement movement of New Zealand,the ah kohanga reo movement movement of New Zealand,OF,New Zealand,Def-pn,n,Inanim,the kohanga reo movement,n,Inanim
<mm> ah on the on the border of Liverpool,the border of Liverpool <mm> and Wales .,OF,Liverpool and Wales,Def-pn,n,Inanim,the border,n,Inanim
that you know that the the colour scheme of of a,the colour scheme of of a lot of Welsh people,OF,a lot of Welsh people,Indef,n,Anim,the colour scheme,n,Inanim
and then the other side of the Welsh .,the other side of the Welsh . culture,OF,the Welsh culture,Def,n,Inanim,the other side,n,Inanim
at the end of my kitchen bench .,the end of my kitchen bench .,OF,my kitchen bench,Def,n,Inanim,the end,n,Inanim
we . reach into one another's hearts much more easily,one another's hearts,S,one another,Indef,n,Anim,hearts,n,Inanim
the base of a coal mine -,the base of a coal mine -,OF,a coal mine,Indef,n,Inanim,the base,n,Inanim
poised on the edge of that sort of thing in reality . all the time <mm>,the edge of that sort of thing,OF,that sort of thing,Def,n,Inanim,the edge,n,Inanim
and I used to get my doll's clothes and dress her up in the doll's clothes and .,my doll's clothes,S,my doll,Def,n,Inanim,clothes,n,Inanim
sh- try and push her around in my doll's pram <>,my doll's pram <>,S,my doll,Def,n,Inanim,pram,n,Inanim
master of my own destiny at this point and my father had no,the m- . master of my own destiny,OF,my own destiny,Def,n,Inanim,the m master,n,Anim
um . well that year . I  and that did was great . and then three . we did . I did I with the girls . and did . my girlfriend we did um . um - the Abel Tasman .  the  and we had really good weather st <oh good> that was great   and that james was to break the girls in   cos . early then . at the end of in that year . we did the as a family this er year the banks peninsula . walk with <oh . yeah>   so . it friends,the end of that year .,OF,that year,Def,n,Inanim,the end,n,Inanim
so we phoned . Jerry's mum and she said . oh she said . have you got Pete? and we said no < >   oh,Jerry's mum,S,Jerry,Def-pn,n,Anim,mum,n,Anim
and in the middle of the night boomf down she came <laugh> <oh no>,the middle of the night,OF,the night,Def,n,Inanim,the middle,n,Inanim
which was in the middle of East Germany . you know . um Germany was divided into East and West <oh yep yep yeah> and Berlin was also divided into East and West Berlin .,the middle of East Germany .,OF,East Germany,Def-pn,n,Inanim,the middle,n,Inanim
yes . a lot of changes in the system - yes . I . think . I can see the benefits of the changes in the system -,the benefits of the changes in the system -,OF,the changes in the system,Def,n,Inanim,the benefits,n,Inanim
aah when I was living in the Northern Territory of Australia,the Northern Territory of Australia,OF,Australia,Def-pn,n,Inanim,the Northern Territory,n,Inanim
she went when she was at her at the lady's house that she stayed at through the day .,the lady's house,S,the lady,Def,n,Anim,house,n,Inanim
umm . I live in the seaside part of Christchurch .,the seaside part of Christchurch .,OF,Christchurch,Def-pn,n,Inanim,the seaside part,n,Inanim
the tone of the school changed a little . in fact it had a nickna,the tone of the school,OF,the school,Def,n,Inanim,the tone,n,Inanim
no . no we had a chalk line across the middle of the room,the middle of the room,OF,the room,Def,n,Inanim,the middle,n,Inanim
is the example of their parents and a lot of them don't have parents to get examples from .,the example of their parents,OF,their parents,Def,n,Anim,the example,n,Inanim
she had what was c known as the palmer method of handwriting and .,the palmer method of handwriting,OF,handwriting,Indef,n,Inanim,the palmer method,n,Inanim
and if you want to get high in the fields of where you want to go,the fields of where you want to go,OF,where you want to go,Def,n,Inanim,the fields,n,Inanim
was that aah Errol's sister moved come back from England,Errol's sister,S,Errol,Def-pn,n,Anim,sister,n,Anim
but ah you know on the advent of the twenty five hour day .,the advent of the twenty five hour day .,OF,the twenty five hour day,Def,n,Inanim,the advent,n,Inanim
much to the upset of my parents .,the upset of my parents .,OF,my parents,Def,n,Anim,the upset,n,Inanim
through her life she still . does it from a . layman's point of view - -,a . layman's point of view - -,S,a layman,Indef,n,Anim,point of view,n,Inanim
well actually no that was the name of the vessel .,the name of the vessel .,OF,the vessel,Def,n,Inanim,the name,n,Inanim
all the tricks of the trade the they were they were sharp cookies .,the tricks of the trade,OF,the trade,Def,n,Inanim,the tricks,n,Inanim
um . Rachel's last year at . final year at . Teacher's College -,Rachel's last year,S,Rachel,Def-pn,n,Anim,last year,n,Inanim
it was ah I went to Brisbane - to my sister's -,my sister's - place,S,my sister,Def,n,Anim,place,n,Inanim
and it sort of came to the end of my working career . in the workplace that is <mmh> -,the end of my working career .,OF,my working career,Def,n,Inanim,the end,n,Inanim
side of the tape has finished . and I've no idea what happened -,the . side of the tape,OF,the tape,Def,n,Inanim,the side,n,Inanim
otherwise but it really intensifies towards the end of the year <hmmm>,the end of the year,OF,the year,Def,n,Inanim,the end,n,Inanim
um - being a teacher's aide - special needs -,a teacher's aide -,S,a teacher,Indef,n,Anim,aide,n,Anim
she was before she started school she had the . iq of an eighteen month old -,the . iq of an eighteen month old -,OF,an eighteen month old,Indef,n,Anim,the iq,n,Inanim
deregulation of the teaching um . I was gonna say industry .,the um .  deregulation of the teaching,OF,the teaching,Def,n,Inanim,the deregulation,n,Inanim
people would get up and walk to the other side of the room,the other side of the room,OF,the room,Def,n,Inanim,the other side,n,Inanim
their birth certificate only had their mother's name on -,their mother's name,S,their mother,Def,n,Anim,name,n,Inanim
some of them in fact had got a fictitious mother's name -,a fictitious mother's name -,S,a fictitious mother,Indef,n,Anim,name,n,Inanim
the birth mother had used her friend's name .,her friend's name .,S,her friend,Def,n,Anim,name,n,Inanim
whether he turned out to try and change everybody's name I don't know,everybody's name,S,everybody,Def,n,Anim,name,n,Inanim
did you know Guy's mother's contacted him?,Guy's mother's,S,Guy,Def-pn,n,Anim,mother,n,Anim
and gave the name of his father who was a student in New Zealand,the name of his father,OF,his father,Def,n,Anim,the name,n,Inanim
yes Belinda's got the list an it been really good because we've got the name and the number of Mr Dietrichs who's the assistant .,the name and the number of Mr Dietrichs,OF,Mr Dietrichs,Def-pn,n,Anim,the name and the number,n,Inanim
some of whom struggle with the language - and tend to interrupt the flow of the class .,the flow of the class .,OF,the class,Def,n,Inanim,the flow,n,Inanim
one of the Asian boys put up his hand and asked a question something to do wih the interpretation of the question -,the interpretation of the question -,OF,the question,Def,n,Inanim,the interpretation,n,Inanim
in a way I don't think I'd like to be there as a principal though in today's climate because there's just so much .,today's climate,S,today,Def,n,Inanim,climate,n,Inanim
but yeah I'd like to be perhaps . in the lower half of a two teacher school in the,the lower half of a two teacher school,OF,a two teacher school,Indef,n,Inanim,the lower half,n,Inanim
it was beautiful and then in the distance at night I'd see the lights of Sydney,the lights of Sydney,OF,Sydney,Def-pn,n,Inanim,the lights,n,Inanim
at the bottom of their plantation .,the bottom of their plantation .,OF,their plantation,Def,n,Inanim,the bottom,n,Inanim
under . a bit of a sh~ . tin . lean to at the end of your street -,the end of your street -,OF,your street,Def,n,Inanim,the end,n,Inanim
she gave her the equivalent of fifty cents -,the equivalent of fifty cents -,OF,fifty cents,Indef,n,Inanim,the equivalent,n,Inanim
I wanted this cl~ . these ones last year's group you know .,last year's group,S,last year,Def,n,Inanim,group,n,Anim
at the end of the term . they still couldn't .,the end of the term .,OF,the term,Def,n,Inanim,the end,n,Inanim
so if you want to remember somebody's name .,somebody's name .,S,somebody,Indef,n,Anim,name,n,Inanim
I think it's hard enough without being a teacher's kid,a teacher's kid,S,a teacher,Indef,n,Anim,kid,n,Anim
the number of staff large . but .,the number of staff,OF,staff,Indef,n,Anim,the number,n,Inanim
the . head of history at this particular school .,the . head of history,OF,history,Indef,n,Inanim,the head,n,Anim
right so . you'll go in in the intake at the beginning of next year? <yes> yes,the beginning of next year?,OF,next year,Def,n,Inanim,the beginning,n,Inanim
in fact we bought some shampoo for my daughter's hair well we think we bought shampoo .,my daughter's hair,S,my daughter,Def,n,Anim,hair,n,Inanim
which you know made it quite magical because you got the contrast of the snow .,the contrast of the snow . and the redness . you know of the canyon and so on .,OF,the snow and the redness of the canyon and so on,Def,n,Inanim,the contrast,n,Inanim
and the redness . you know of the canyon and so on . /yes,the redness . you know of the canyon and so on .,OF,the canyon and so on,Def,n,Inanim,the redness,n,Inanim
um sort of . areas of Arizona but . in a natch.. you know . <mm> might be the wildflowers of Arizona or whatever but it was a magazine .,the wildflowers of Arizona,OF,Arizona,Def-pn,n,Inanim,the wildflowers,n,Inanim
well I lived in Wellington briefly and . I actually found that the muscles in the backs of my legs got sore from just . constantly,the backs of my legs,OF,my legs,Def,n,Inanim,the backs,n,Inanim
however . so you live on the flat part of Christchurch too <yes> I take it?,the flat part of Christchurch,OF,Christchurch,Def-pn,n,Inanim,the flat part,n,Inanim
and is she anyone's special pet or is she the whole family's pet?,anyone's special pet or,S,anyone,Indef,n,Anim,special pet,n,Anim
and is she anyone's special pet or is she the whole family's pet?,the whole family's pet?,S,the whole family,Def,n,Inanim,pet,n,Anim
back in the days of twenty four hour turn around . <yeah > -,the days of twenty four hour turn around .,OF,twenty four hour turn around,Indef,n,Inanim,the days,n,Inanim
running their um . project management systems through that training staff in the use of the project management techniques .,the use of the project management techniques .,OF,the project management techniques,Def,n,Inanim,the use,n,Inanim
the focal point of your day I mean the highlight of the day can be .,the focal point of your day,OF,your day,Def,n,Inanim,the focal point,n,Inanim
the focal point of your day I mean the highlight of the day can be .,the highlight of the day,OF,the day,Def,n,Inanim,the highlight,n,Inanim
um Sea Scouts are identical . we . operate on the same code of ethics,the same code of ethics,OF,ethics,Indef,n,Inanim,the same code,n,Inanim
we started the second part at the end of June ?,the end of June ?,OF,June,Def-pn,n,Inanim,the end,n,Inanim
and that was supposed to finished I went away to England at the end of June .,the end of June .,OF,June,Def-pn,n,Inanim,the end,n,Inanim
so anyway we actually didn't get finished until the thirtieth of November and that's when the carpet went down,the thirtieth of November,OF,November,Def-pn,n,Inanim,the thirtieth,n,Inanim
the ringing of the bells the .,the ringing of the bells,OF,the bells,Def,n,Inanim,the ringing,n,Inanim
the reciting of compline at night and you know um I don't know if you're familiar with .,the reciting of compline,OF,compline,Indef,n,Inanim,the reciting,n,Inanim
something I wasn't comfortable but it was something I had to do sort of go through the ritual of the prayers and,the ritual of the prayers,OF,the prayers,Def,n,Inanim,the ritual,n,Inanim
forgot the name of the place out in Hororata,the name of the place out in Hororata,OF,the place out in Hororata,Def,n,Inanim,the name,n,Inanim
it's just the trigger for the the writing on the person's forehead,the person's forehead,S,the person,Def,n,Anim,forehead,n,Inanim
of you know on the round part of the three,the round part of the three,OF,the three,Def,n,Inanim,the round part,n,Inanim
and you take people like Fritz Perls the founder of um Gest? Gestalt therapy okay,the founder of um Gest? Gestalt therapy,OF,Gestalt therapy,Indef,n,Inanim,the founder,n,Anim
and you look at all them and this is what the founders of NLP did they look at all those modalities and they said ?yep that's really good?,the founders of NLP,OF,NLP,Def-pn,n,Inanim,the founders,n,Anim
just in the break between the first half and the second half of my six weeks break,the first half and the second half of my six weeks break,OF,my six weeks break,Def,n,Inanim,the first half and the second half,n,Inanim
